id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7zjWtWDCNgeXSY78nLzBQJ,0.835,0.513,0.274,0.0976,0.11,-11.394,0.0286,76.375,0.279
6pahoBeQNNAJq6aT5QfizL,0.445,0.19,0.413,0.956,0.112,-15.479,0.0623,127.44,0.108
75bbC5jY6weR6ILscRZ8y2,0.304,0.187,0.0767,0.913,0.106,-25.027,0.0326,97.049,0.0722
40WXdZDdjnEIMiQynWYF8U,0.979,0.375,0.225,0.579,0.0871,-15.091,0.0304,97.11,0.0389
1SCHyoGvd11GpbPw6z01Gt,0.655,0.279,0.626,0.547,0.409,-13.055,0.395,99.939,0.0347
3x8ORfjJH2W2xzvyB0LeB9,0.384,0.633,0.381,0.89,0.108,-13.137,0.0246,109.993,0.429
78s9ENMqB5MBgV8nhP3ogF,0.0101,0.507,0.37,0.847,0.0743,-15.211,0.03,144.958,0.0374
3x1QE1uiG9wqYL7oBW4C8Z,0.0769,0.644,0.824,0.979,0.0699,-8.109,0.0364,140.02,0.311
59X2sWl3SBtUgkMEE1RlEx,0.745,0.151,0.506,0.901,0.115,-10.63,0.0411,105.305,0.0726
5Cr0fRWrB5C8AcfpkuxwL9,0.983,0.126,0.22,0.965,0.197,-15.255,0.0337,61.109,0.0376
6H179fTdaQXT4QHnNxNX4D,0.991,0.478,0.0267,0.894,0.15,-24.094,0.0515,84.493,0.219
6djRBKQoWVHgnFZNFP7dtd,0.132,0.126,0.15,0.642,0.676,-12.488,0.126,95.456,0.613
0YkKDfTYI70WkYSBWh2LQM,0.804,0.374,0.113,0.835,0.121,-15.006,0.0307,107.954,0.0516
40UlFC0dIxv7lAEJaPZLnm,0.958,0.525,0.366,0.751,0.137,-16.488,0.0718,179.956,0.0785
24JQck13lYuUCMKHHu6mWM,0.7,0.317,0.123,0.896,0.0898,-25.45,0.0558,123.893,0.114
18XxXHR2YPCvGEZA2fexUC,0.918,0.103,0.326,0.919,0.104,-18.487,0.0405,70.604,0.0709
46LwAOzg3UYvxiXyyaFedz,0.421,0.687,0.646,0.41,0.362,-13.639,0.0462,113.993,0.571
1ps5sx71OhHiBVmGiKQSne,0.687,0.299,0.114,0.859,0.0764,-24.355,0.042,70.729,0.131
